url,title,author,creator,producer,version,size,xmp,pages
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/Sustainability-Letter-President-85.pdf,Climate-Action-and-Sustainability,Mary Josephine,Word,macOS Version 12.4 (Build 21F79) Quartz PDFContext,1.3,107545,"Adobe XMP Core 7.1-c000 79.cb7c5a1, 2022/04/14-05:22:35        ",3
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/President-Biden-Dedication-of-The-Dodd-Center.pdf,President-Biden-Dedication-of-The-Dodd-Center,<no author>,<no creator>,Equidox 5,1.7,138712,"Adobe XMP Core 5.6-c017 91.164464, 2020/06/15-10:20:05        ",1
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/Together-Call-for-Proposals.pdf,Microsoft Word - Together Call for Proposals Draft v2.docx,<no author>,Word,Mac OS X 10.11.6 Quartz PDFContext,1.3,423519,"Adobe XMP Core 5.2-c001 63.139439, 2010/09/27-13:37:26        ",1
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/Meeting-1-Facilities-Operations-Project-Updates-and-Student-Updates.pdf,University of Connecticut  Carbon Neutral Task Force Meeting #6  March 2023,Katie Milardo,Acrobat PDFMaker 20 for PowerPoint,Adobe PDF Library 20.5.75,1.7,2538945,"Adobe XMP Core 5.6-c018 91.98c2f96, 2021/06/15-20:39:32        ",18
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/president-covid-spending-policy.pdf,<no title>,<no author>,PDFium,PDFium,1.7,87600,<no xmp toolkit version>,2
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/Reminder-Threats-to-Research.pdf,,"Glasgow Jr, Michael",Acrobat PDFMaker 20 for Word,Adobe PDF Library 20.1.66,1.6,96482,"Adobe XMP Core 5.6-c017 91.164464, 2020/06/15-10:20:05        ",2
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/Announce_51210.pdf,Announce_51210,dem02009,PDFCreator Version 0.9.5,GPL Ghostscript 8.61,1.4,99381,3.1-702,1
https://president.uconn.edu/wp-content/uploads/sites/3778/2024/01/Radenka-Maric-Resume-.pdf,Radenka Maric 13 May 2024,Bethany Javidi,Word,macOS Version 14.3 (Build 23D56) Quartz PDFContext,1.3,1968550,"Adobe XMP Core 9.1-c001 79.675d0f7, 2023/06/11-19:21:16        ",57
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/2014-11-19-Herbst-Letter-to-the-Community.pdf,<no title>,<no author>,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",Skia/PDF m74,1.4,258668,<no xmp toolkit version>,1
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/PAR2000opt.pdf,<no title>,<no author>,Adobe Acrobat 9.2,Adobe Acrobat 9.2 Image Conversion Plug-in,1.6,5944399,"Adobe XMP Core 4.2.1-c043 52.372728, 2009/01/18-15:56:37        ",17
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/Coffee-Hour-March-2-2023.pdf,Carbon Coffee Hour,UConn OS,Canva,Canva,1.4,34941977,<no xmp toolkit version>,3
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/FINAL-REPORT-Free-Speech-Task-Force.pdf,<no title>,Gary English,Acrobat PDFMaker 20 for Word,Adobe PDF Library 20.1.53,1.6,153497,"Adobe XMP Core 5.6-c017 91.164464, 2020/06/15-10:20:05        ",4
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/Search-Committee-Chief-University-of-Connecticut-Police-Department.pdf,,Michael Kirk,Acrobat PDFMaker 20 for Word,Adobe PDF Library 20.1.58,1.6,72150,"Adobe XMP Core 5.6-c017 91.164464, 2020/06/15-10:20:05        ",1
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/2020-Provost-Law-Dean-Annoucement.pdf,<no title>,"Ballestrini, Christine",Microsoft Word,<no producer>,1.7,102645,3.1-701,2
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/2020-10-21-Proposal-to-Admit-for-Fixed-Period-of-Stay.pdf,Microsoft Word - 2020-10-21 Proposal to Admit for Fixed Period of Stay (002),jmb16118,PScript5.dll Version 5.2.2,Acrobat Distiller 17.0 (Windows),1.5,145132,"Adobe XMP Core 5.6-c015 84.159810, 2016/09/10-02:41:30        ",4
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/Chief-Diversity-Officer-Search-Committee-2019-1.pdf,,"Bosques, Lillian",Acrobat PDFMaker 17 for Word,Adobe PDF Library 15.0,1.5,209240,"Adobe XMP Core 5.6-c015 84.159810, 2016/09/10-02:41:30        ",3
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/2019-Committee-Presidents-Council-Race-Diversity.pdf,<no title>,"Ballestrini, Christine",Microsoft Word,<no producer>,1.7,140856,3.1-701,2
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/UConn-Reads-Letter.pdf,,"Breen, Tom",Acrobat PDFMaker 20 for Word,Adobe PDF Library 20.1.53,1.6,50280,"Adobe XMP Core 5.6-c017 91.164464, 2020/06/15-10:20:05        ",1
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/Academic-Planning-Fall-2020.pdf,<no title>,John Elliott,Microsoft Word,<no producer>,1.7,106201,3.1-701,2
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/1.-Protect-Our-Pack-Task-Force-Presentation.pdf,Protect Our Pack  Orientation  & other Training Programs,"Longa, Jenn",Acrobat PDFMaker 20 for PowerPoint,Adobe PDF Library 20.5.106,1.6,204702,"Adobe XMP Core 5.6-c017 91.164464, 2020/06/15-10:20:05        ",10
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/Climate-Action-at-UConn-01.24.20.pdf,FileNewTemplate,Diana,Acrobat PDFMaker 15 for PowerPoint,Adobe PDF Library 15.0,1.5,1040115,"Adobe XMP Core 5.6-c015 84.159810, 2016/09/10-02:41:30        ",7
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/Sexual-Assault-Task-Force_March-2022.pdf,TAG Staff Meeting,tammy.m.foular,Acrobat PDFMaker 20 for PowerPoint,Adobe PDF Library 20.5.106,1.6,911382,"Adobe XMP Core 5.6-c017 91.164464, 2020/06/15-10:20:05        ",6
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/Hang-in-There-Huskies.pdf,,Aaron Rosman,Acrobat PDFMaker 20 for Word,Adobe PDF Library 20.1.53,1.6,81844,"Adobe XMP Core 5.6-c017 91.164464, 2020/06/15-10:20:05        ",1
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/UCHC_Bill_050410.pdf,UCHC Bill - community message.050410x,slr07011,PDFCreator Version 0.9.5,GPL Ghostscript 8.61,1.4,63070,"XMP toolkit 2.9.1-13, framework 1.6",2
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/2014-02-07-Civility-Task-Force-Message-to-Campus-signed.pdf,<no title>,"Fazio, Joanne",Acrobat PDFMaker 11 for Word,Adobe PDF Library 11.0,1.6,79131,"Adobe XMP Core 5.4-c005 78.147326, 2012/08/23-13:03:03        ",2
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/Week-9-Greenhouse-Gas-Data-and-Tracking.pdf.pdf,University of Connecticut  Carbon Neutral Task Force Meeting #6  March 2023,Katie Milardo,Microsoft® PowerPoint® for Microsoft 365,Microsoft® PowerPoint® for Microsoft 365,1.7,952983,3.1-701,11
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/02/PresMsg061110.pdf,PresMsg061110,dem02009,PDFCreator Version 0.9.5,GPL Ghostscript 8.61,1.4,80319,"XMP toolkit 2.9.1-13, framework 1.6",3
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/UConn-Health-Appropriations-Testimony-2.15.23.pdf,UConn-Health-Appropriations-Testimony-2.15.23,<no author>,<no creator>,Equidox 5,1.7,8819312,"Adobe XMP Core 5.6-c015 84.159810, 2016/09/10-02:41:30        ",43
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/02/Press-release.pdf,<no title>,<no author>,<no creator>,<no producer>,<no version>,1379,<no xmp toolkit version>,-1
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/02/prez-mhogan-msg-community-jasperhoward.pdf,<no title>,Orlando Echevarria,Writer,OpenOffice.org 3.2,1.4,41600,<no xmp toolkit version>,1
https://president.media.uconn.edu/wp-content/uploads/sites/3778/2024/04/Celebrating-Our-Husky-Pride.pdf,Celebrating our Husky Pride,<no author>,Acrobat PDFMaker 24 for Microsoft Outlook,Adobe PDF Library 24.1.163,1.7,216958,"Adobe XMP Core 9.1-c001 79.675d0f7, 2023/06/11-19:21:16        ",2
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/CNTF_Wk7_Geothermal.pdf,University of Connecticut  Carbon Neutral Task Force Meeting #7   March 2023,"Greenwell, Mary",Acrobat PDFMaker 11 for PowerPoint,Adobe PDF Library 11.0,1.5,477422,"Adobe XMP Core 5.4-c006 80.159825, 2016/09/16-03:31:08        ",14
https://draft-president.media.uconn.edu/wp-content/uploads/sites/3778/2024/01/Student-Health-and-Wellness.pdf,PowerPoint Presentation,Suzanne Onorato,Acrobat PDFMaker 20 for PowerPoint,Adobe PDF Library 20.5.106,1.6,680195,"Adobe XMP Core 5.6-c017 91.164464, 2020/06/15-10:20:05        ",9
